1.000000000000220046e+00	nan	nan	nan	nan	7.182895091636369855e-01	7.160582492708049696e-01	nan	2.994374795918637311e-01	6.460194761237160188e-01	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	6.056383798061669710e-01	6.804470654368279803e-01	6.498898804528570050e-01	nan	6.868872948958689717e-01	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	6.386459651798730430e-01	nan	nan	6.967538598585270027e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	6.826210867973270258e-01	nan	nan	2.994374795918637311e-01	5.824774939072759894e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	5.456196721177090092e-01	6.218220758599809495e-01	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	nan	6.510484924186259459e-01	nan	nan	nan	2.994374795918637311e-01	5.841673803206040017e-01	nan	nan	2.994374795918637311e-01	6.933568587862759536e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	5.570145071457760499e-01	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	6.797855679217880143e-01	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	6.985361569367599666e-01	nan	nan	nan	nan	nan	6.513747605946660357e-01	nan	7.094034668168049951e-01	nan	7.044911272692570003e-01
nan	1.000000000000049960e+00	nan	nan	6.508885596808370311e-01	6.359360202027120046e-01	nan	nan	nan	nan	6.601536784695339888e-01	6.045841637771549593e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	5.363121366951120184e-01	6.123856435469440251e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	5.376619550797979707e-01	nan	nan	nan	6.752067315657479529e-01	2.994374795918637311e-01	nan	nan	nan	5.180373452088440356e-01	nan	4.931939450695759786e-01	2.994374795918637311e-01	6.050280613694459797e-01	2.994374795918637311e-01	nan	nan	nan	nan	6.333497017628240133e-01	nan	6.701220292743520490e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	5.490122507787880135e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.828435092892579883e-01	nan	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	6.591299837084090285e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	4.966358985360599942e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	6.198549606633200204e-01	nan	6.543161197722839884e-01	6.523537897656029871e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	6.296972984267510398e-01	nan	nan	nan	2.994374795918637311e-01
nan	nan	1.000000000000069944e+00	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	6.282590334297200041e-01	nan	6.853345109259579848e-01	nan	nan	nan	6.508489458395609883e-01	6.935199827375120307e-01	nan	6.032954263491969726e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	6.187921195091440341e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	5.976895886715130057e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	6.132897649577200294e-01	nan	nan	nan	nan	nan	nan	6.057552052288850408e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	4.719046215393359889e-01	nan	nan	nan	5.839913413839560308e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.796824313553530006e-01	nan	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	5.321043310099250467e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	6.094005051855200250e-01	nan	6.710825992573510312e-01	5.549333482346460178e-01	nan	4.888826752756940119e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	5.183499745477579967e-01	2.994374795918637311e-01	nan	nan	nan	6.752623602221079491e-01	nan	nan	nan	6.931053308916950151e-01	nan	nan	6.978751633686800515e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	8.208719011379229658e-01	6.381449482487120406e-01	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan
nan	nan	nan	9.999999999998909761e-01	2.994374795918637311e-01	6.234730538663539878e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	6.869445041337329805e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	6.725923050297899497e-01	nan	nan	nan	nan	7.124336610702189931e-01	nan	nan	nan	nan	nan	nan	nan	5.846411224165829479e-01	nan	nan	nan	6.389682255984630022e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	7.150936944159459463e-01	6.631170246887020392e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.929100520398390195e-01	nan	nan	nan	5.280844110502029842e-01	2.994374795918637311e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	6.113654303144570035e-01	nan	nan	6.887692372650600081e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.836844869699779670e-01	2.994374795918637311e-01	6.418782015262169960e-01	2.994374795918637311e-01
nan	6.508885596808370311e-01	nan	2.994374795918637311e-01	9.999999999998619993e-01	nan	nan	nan	6.630942825862550238e-01	6.971560632035790350e-01	nan	nan	6.451939633688930087e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	2.994374795918637311e-01	6.461695295075200463e-01	nan	nan	nan	6.365297621579619758e-01	nan	6.028417275501569694e-01	nan	2.994374795918637311e-01	nan	nan	nan	2.994374795918637311e-01	nan	4.540232463046560141e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	5.931873759407899627e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	5.707745005966889940e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	6.547726641212679999e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	6.639003786684459785e-01	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	5.548354982602560215e-01	nan	nan	2.994374795918637311e-01	5.872577721406240236e-01	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan
7.182895091636369855e-01	6.359360202027120046e-01	nan	6.234730538663539878e-01	nan	1.000000000000029976e+00	nan	nan	nan	nan	nan	nan	6.673456968430230285e-01	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	4.414999539049029864e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	6.366535198234050119e-01	nan	nan	5.546246421247349456e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	5.943650059758519566e-01	nan	nan	6.902117088171649817e-01	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	5.757233540716349962e-01	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	5.752058992427260264e-01	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	2.994374795918637311e-01	6.787953349074929976e-01	4.318265140153519921e-01	nan	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	nan	5.562025606898349794e-01	2.994374795918637311e-01	nan	7.026895759709299583e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	4.164999841637719857e-01	nan	nan	nan	2.994374795918637311e-01	5.266083881302030534e-01	nan	nan	nan	6.326315263964540359e-01	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	7.083402078323970397e-01	6.076412476941870366e-01	6.703837716408590497e-01	nan	nan	nan
7.160582492708049696e-01	nan	nan	nan	nan	nan	1.000000000000039968e+00	nan	2.994374795918637311e-01	2.994374795918637311e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	6.779583123936490097e-01	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	7.303101080712259829e-01	nan	2.994374795918637311e-01	nan	nan	nan	7.176451990050629615e-01	nan	2.994374795918637311e-01	5.902067449980969993e-01	nan	nan	6.269910172638949453e-01	nan	7.236061330554000026e-01	nan	nan	2.994374795918637311e-01	5.992396380310209825e-01	5.277997147991240201e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	5.357601631502370010e-01	nan	2.994374795918637311e-01	6.579597245370280012e-01	nan	nan	nan	nan	6.438879680405199535e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	5.137481133604440142e-01	5.230013450338359959e-01	nan	2.994374795918637311e-01	nan	5.928137589879159952e-01	nan	nan	nan	nan	5.084590660272939600e-01	nan	6.751492483199580397e-01	2.994374795918637311e-01	nan	nan	nan	nan	4.954126614225879965e-01	5.026499423993799898e-01	nan	nan	2.994374795918637311e-01	nan	nan	5.457387060550219493e-01	6.616422575899879588e-01	nan	nan	2.994374795918637311e-01	nan	7.132127862399290086e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan
nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	9.999999999999440448e-01	nan	nan	nan	nan	6.409817742196419754e-01	nan	nan	nan	nan	2.994374795918637311e-01	5.536617079367009975e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.257932249115090162e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	nan	4.250084744347559784e-01	nan	nan	6.924337612690200094e-01	4.978703500617390199e-01	2.994374795918637311e-01	nan	nan	5.548464068831610030e-01	nan	nan	nan	2.994374795918637311e-01	nan	6.307950971455630329e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	4.703651591499670159e-01	nan	4.873707065867159960e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	4.583759064145370155e-01	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	6.217701506174010406e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan
2.994374795918637311e-01	nan	2.994374795918637311e-01	2.994374795918637311e-01	6.630942825862550238e-01	nan	2.994374795918637311e-01	nan	1.000000000000190070e+00	nan	2.994374795918637311e-01	5.372163587217889669e-01	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	6.990064168649939846e-01	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	6.161455839445979521e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.454031831006630471e-01	nan	nan	nan	nan	nan	5.732871524969249677e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	4.341186173712029972e-01	nan	5.715409639258159924e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	5.500334338134380552e-01	nan	nan	6.550827406964040422e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	5.135695861309610422e-01	nan	nan	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	5.707003516408889476e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	4.201495853884770204e-01	nan	nan	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	nan	nan	6.922239900140869651e-01	nan	2.994374795918637311e-01	nan	6.664507660764129593e-01	6.847648428563619660e-01	6.538854420159130321e-01
6.460194761237160188e-01	nan	nan	nan	6.971560632035790350e-01	nan	2.994374795918637311e-01	nan	nan	1.000000000000099920e+00	nan	6.312712354370779710e-01	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	4.710456829492989939e-01	nan	2.994374795918637311e-01	nan	nan	nan	6.495934002229549753e-01	2.994374795918637311e-01	nan	2.994374795918637311e-01	6.364359194061069980e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	nan	6.228664023053539500e-01	nan	nan	nan	nan	5.185357399032669568e-01	2.994374795918637311e-01	nan	nan	nan	nan	6.167468218825400417e-01	4.849287314737190102e-01	5.402695822865180020e-01	nan	nan	nan	5.433713997388800454e-01	2.994374795918637311e-01	nan	5.734179234919829504e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.352214839705170313e-01	nan	nan	6.220326446913450047e-01	2.994374795918637311e-01	2.994374795918637311e-01	nan	nan	2.994374795918637311e-01	nan	nan	nan	4.449940576112380031e-01	2.994374795918637311e-01	nan	nan	nan	nan	nan	4.913943691108019762e-01	5.096195470290859619e-01	nan	nan	nan	nan	5.789940275597630359e-01	nan	nan	nan	nan	5.470967825049579680e-01	nan	nan	nan	2.994374795918637311e-01	5.672293262376719714e-01	nan	nan	nan	nan	nan	nan	2.994374795918637311e-01	nan	2.994374795918637311e-01	nan	nan	nan	nan	6.389554958353079739e-01	2.994374795918637311e-01
